2024-10-24 15:05:33,154 - INFO - Starting contact tracking system...
2024-10-24 15:11:16,577 - INFO - Tracking teddy at (3, 0)
2024-10-24 15:11:18,098 - INFO - Tracking ruby at (9, 9)
2024-10-24 15:11:18,605 - INFO - Tracking teddy at (4, 0)
2024-10-24 15:11:20,130 - INFO - Tracking ruby at (9, 8)
2024-10-24 15:11:20,650 - INFO - Tracking teddy at (5, 0)
2024-10-24 15:11:22,168 - INFO - Tracking ruby at (9, 8)
2024-10-24 15:11:22,689 - INFO - Tracking teddy at (4, 1)
2024-10-24 15:11:24,211 - INFO - Tracking ruby at (9, 7)
2024-10-24 15:11:24,728 - INFO - Tracking teddy at (3, 0)
2024-10-24 15:11:26,251 - INFO - Tracking ruby at (8, 6)
2024-10-24 15:11:26,768 - INFO - Tracking teddy at (3, 0)
2024-10-24 15:11:28,289 - INFO - Tracking ruby at (8, 5)
2024-10-24 15:11:28,801 - INFO - Tracking teddy at (4, 0)
2024-10-24 15:11:30,324 - INFO - Tracking ruby at (9, 5)
2024-10-24 15:11:30,842 - INFO - Tracking teddy at (4, 0)
2024-10-24 15:11:32,366 - INFO - Tracking ruby at (9, 5)
2024-10-24 15:11:32,887 - INFO - Tracking teddy at (3, 0)
2024-10-24 15:11:34,412 - INFO - Tracking ruby at (8, 5)
2024-10-24 15:11:34,933 - INFO - Tracking teddy at (4, 0)
2024-10-24 15:11:36,454 - INFO - Tracking ruby at (9, 6)
2024-10-24 15:11:36,970 - INFO - Tracking teddy at (5, 0)
2024-10-24 15:11:38,491 - INFO - Tracking ruby at (8, 6)
2024-10-24 15:11:39,002 - INFO - Tracking teddy at (5, 1)
2024-10-24 15:11:40,523 - INFO - Tracking ruby at (8, 5)
2024-10-24 15:11:41,038 - INFO - Tracking teddy at (4, 1)
2024-10-24 15:11:42,564 - INFO - Tracking ruby at (9, 6)
2024-10-24 15:11:43,081 - INFO - Tracking teddy at (4, 1)
2024-10-24 15:11:44,605 - INFO - Tracking ruby at (8, 5)
2024-10-24 15:11:45,114 - INFO - Tracking teddy at (5, 0)
2024-10-24 15:11:46,638 - INFO - Tracking ruby at (8, 5)
2024-10-24 15:11:47,156 - INFO - Tracking teddy at (5, 0)
2024-10-24 15:11:48,681 - INFO - Tracking ruby at (7, 4)
2024-10-24 15:11:49,190 - INFO - Tracking teddy at (5, 1)
2024-10-24 15:11:50,714 - INFO - Tracking ruby at (7, 3)
2024-10-24 15:11:51,221 - INFO - Tracking teddy at (5, 2)
2024-10-24 15:11:52,742 - INFO - Tracking ruby at (6, 2)
2024-10-24 15:11:53,263 - INFO - Tracking teddy at (4, 3)
2024-10-24 15:11:54,788 - INFO - Tracking ruby at (7, 3)
2024-10-24 15:11:55,297 - INFO - Tracking teddy at (5, 2)
2024-10-24 15:11:56,816 - INFO - Tracking ruby at (6, 2)
2024-10-24 15:11:57,337 - INFO - Tracking teddy at (5, 3)
2024-10-24 15:11:58,859 - INFO - Tracking ruby at (7, 1)
2024-10-24 15:11:59,381 - INFO - Tracking teddy at (5, 2)
2024-10-24 15:12:00,899 - INFO - Tracking ruby at (8, 1)
2024-10-24 15:12:01,411 - INFO - Tracking teddy at (4, 3)
2024-10-24 15:12:02,934 - INFO - Tracking ruby at (7, 0)
2024-10-24 15:12:03,452 - INFO - Tracking teddy at (5, 4)
2024-10-24 15:12:04,974 - INFO - Tracking ruby at (8, 0)
2024-10-24 15:12:05,485 - INFO - Tracking teddy at (5, 4)
2024-10-24 15:12:07,007 - INFO - Tracking ruby at (7, 1)
2024-10-24 15:12:07,514 - INFO - Tracking teddy at (6, 5)
2024-10-24 15:12:09,034 - INFO - Tracking ruby at (7, 0)
2024-10-24 15:12:09,541 - INFO - Tracking teddy at (5, 5)
2024-10-24 15:12:11,062 - INFO - Tracking ruby at (6, 1)
2024-10-24 15:12:11,585 - INFO - Tracking teddy at (4, 4)
2024-10-24 15:12:13,112 - INFO - Tracking ruby at (6, 2)
2024-10-24 15:12:13,631 - INFO - Tracking teddy at (5, 3)
2024-10-24 15:12:15,153 - INFO - Tracking ruby at (7, 3)
2024-10-24 15:12:15,667 - INFO - Tracking teddy at (4, 3)
2024-10-24 15:12:17,188 - INFO - Tracking ruby at (8, 2)
2024-10-24 15:12:17,697 - INFO - Tracking teddy at (5, 2)
2024-10-24 15:12:19,222 - INFO - Tracking ruby at (9, 3)
2024-10-24 15:12:19,732 - INFO - Tracking teddy at (5, 3)
2024-10-24 15:12:21,256 - INFO - Tracking ruby at (8, 4)
2024-10-24 15:12:21,767 - INFO - Tracking teddy at (6, 2)
2024-10-24 15:12:23,293 - INFO - Tracking ruby at (7, 5)
2024-10-24 15:12:23,807 - INFO - Tracking teddy at (6, 2)
2024-10-24 15:12:25,330 - INFO - Tracking ruby at (7, 4)
2024-10-24 15:12:25,849 - INFO - Tracking teddy at (6, 2)
2024-10-24 15:12:27,369 - INFO - Tracking ruby at (7, 4)
2024-10-24 15:12:27,880 - INFO - Tracking teddy at (5, 1)
2024-10-24 15:12:29,401 - INFO - Tracking ruby at (7, 3)
2024-10-24 15:12:29,924 - INFO - Tracking teddy at (5, 0)
2024-10-24 15:12:31,448 - INFO - Tracking ruby at (7, 2)
2024-10-24 15:12:31,965 - INFO - Tracking teddy at (4, 1)
2024-10-24 15:12:33,485 - INFO - Tracking ruby at (6, 2)
2024-10-24 15:12:33,994 - INFO - Tracking teddy at (3, 0)
2024-10-24 15:12:34,508 - INFO - Tracking ruby at (6, 3)
2024-10-24 15:12:35,019 - INFO - Tracking teddy at (2, 0)
2024-10-24 15:12:36,540 - INFO - Tracking ruby at (5, 4)
2024-10-24 15:12:37,054 - INFO - Tracking teddy at (1, 0)
2024-10-24 15:12:38,579 - INFO - Tracking ruby at (6, 4)
2024-10-24 15:12:39,097 - INFO - Tracking teddy at (1, 0)
2024-10-24 15:12:40,621 - INFO - Tracking ruby at (5, 3)
2024-10-24 15:12:41,129 - INFO - Tracking teddy at (2, 0)
2024-10-24 15:12:42,646 - INFO - Tracking ruby at (6, 3)
2024-10-24 15:12:43,159 - INFO - Tracking teddy at (3, 1)
2024-10-24 15:12:44,681 - INFO - Tracking ruby at (6, 3)
2024-10-24 15:12:45,199 - INFO - Tracking teddy at (4, 1)
2024-10-24 15:12:46,722 - INFO - Tracking ruby at (6, 4)
